Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_48_178,VPWR,li1,88.0900,144.1600,1.799828
FILLER_48_175,VPWR,li1,86.7100,144.1600,1.799828
FILLER_48_160,VPWR,li1,79.3500,144.1600,1.799833
FILLER_48_157,VPWR,li1,78.4300,144.1600,1.799835
FILLER_48_141,VPWR,li1,70.8400,144.1600,1.799846
FILLER_48_112,VPWR,li1,57.5000,144.1600,1.799872
FILLER_48_103,VPWR,li1,53.1300,144.1600,1.799882
FILLER_48_83,VPWR,li1,43.9300,144.1600,1.799909
FILLER_48_80,VPWR,li1,43.0100,144.1600,1.799909
FILLER_48_65,VPWR,li1,35.6500,144.1600,1.799928
FILLER_48_62,VPWR,li1,34.7300,144.1600,1.799934
FILLER_48_47,VPWR,li1,27.6000,144.1600,1.799954
FILLER_48_44,VPWR,li1,26.4500,144.1600,1.799954
FILLER_48_41,VPWR,li1,25.0700,144.1600,1.799963
FILLER_48_38,VPWR,li1,23.6900,144.1600,1.799963
FILLER_48_35,VPWR,li1,22.3100,144.1600,1.799970
FILLER_48_32,VPWR,li1,20.9300,144.1600,1.799970
FILLER_48_29,VPWR,li1,19.5500,144.1600,1.799970
FILLER_48_27,VPWR,li1,18.1700,144.1600,1.799970
FILLER_48_24,VPWR,li1,17.2500,144.1600,1.799970
FILLER_48_21,VPWR,li1,15.8700,144.1600,1.799970
FILLER_48_18,VPWR,li1,14.4900,144.1600,1.799970
FILLER_48_15,VPWR,li1,13.1100,144.1600,1.799970
FILLER_48_12,VPWR,li1,11.7300,144.1600,1.799970
FILLER_48_9,VPWR,li1,10.3500,144.1600,1.799970
FILLER_48_6,VPWR,li1,8.9700,144.1600,1.799970
FILLER_48_3,VPWR,li1,7.5900,144.1600,1.799970
FILLER_47_308,VPWR,li1,147.6600,138.7200,1.799800
FILLER_47_305,VPWR,li1,146.5100,138.7200,1.799800
FILLER_47_302,VPWR,li1,145.1300,138.7200,1.799800
FILLER_47_299,VPWR,li1,143.7500,138.7200,1.799800
FILLER_47_296,VPWR,li1,142.3700,138.7200,1.799800
FILLER_47_293,VPWR,li1,140.9900,138.7200,1.799800
FILLER_47_290,VPWR,li1,139.6100,138.7200,1.799800
FILLER_47_287,VPWR,li1,138.2300,138.7200,1.799800
FILLER_47_284,VPWR,li1,136.8500,138.7200,1.799800
FILLER_47_281,VPWR,li1,135.4700,138.7200,1.799800
FILLER_47_277,VPWR,li1,133.6300,138.7200,1.799800
FILLER_47_274,VPWR,li1,132.2500,138.7200,1.799800
FILLER_47_271,VPWR,li1,130.8700,138.7200,1.799800
FILLER_47_268,VPWR,li1,129.4900,138.7200,1.799800
FILLER_47_265,VPWR,li1,128.1100,138.7200,1.799800
FILLER_47_262,VPWR,li1,126.7300,138.7200,1.799800
FILLER_47_259,VPWR,li1,125.3500,138.7200,1.799800
FILLER_47_256,VPWR,li1,123.9700,138.7200,1.799800
FILLER_47_253,VPWR,li1,122.5900,138.7200,1.799800
FILLER_47_250,VPWR,li1,121.2100,138.7200,1.799800
