Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_112_613,VPWR,li1,288.1900,318.2400,1.799326
FILLER_112_610,VPWR,li1,286.8100,318.2400,1.799326
FILLER_112_607,VPWR,li1,285.4300,318.2400,1.799326
FILLER_112_604,VPWR,li1,284.0500,318.2400,1.799326
FILLER_112_601,VPWR,li1,282.6700,318.2400,1.799326
FILLER_112_598,VPWR,li1,281.2900,318.2400,1.799326
FILLER_112_595,VPWR,li1,279.9100,318.2400,1.799326
FILLER_112_592,VPWR,li1,278.5300,318.2400,1.799326
FILLER_112_589,VPWR,li1,277.1500,318.2400,1.799326
FILLER_112_587,VPWR,li1,275.7700,318.2400,1.799326
FILLER_112_584,VPWR,li1,274.8500,318.2400,1.799326
FILLER_112_581,VPWR,li1,273.4700,318.2400,1.799326
FILLER_112_578,VPWR,li1,272.0900,318.2400,1.799326
FILLER_112_533,VPWR,li1,250.9300,318.2400,1.799339
FILLER_112_497,VPWR,li1,234.3700,318.2400,1.799370
FILLER_112_494,VPWR,li1,233.4500,318.2400,1.799376
FILLER_112_473,VPWR,li1,223.7900,318.2400,1.799429
FILLER_112_429,VPWR,li1,203.3200,318.2400,1.799578
FILLER_112_418,VPWR,li1,198.2600,318.2400,1.799619
FILLER_112_403,VPWR,li1,191.1300,318.2400,1.799684
FILLER_112_382,VPWR,li1,181.9300,318.2400,1.799756
FILLER_112_338,VPWR,li1,161.2300,318.2400,1.799691
FILLER_112_309,VPWR,li1,148.3500,318.2400,1.799600
FILLER_112_256,VPWR,li1,123.5100,318.2400,1.799495
FILLER_112_253,VPWR,li1,122.5900,318.2400,1.799491
FILLER_112_243,VPWR,li1,117.5300,318.2400,1.799483
FILLER_112_178,VPWR,li1,87.6300,318.2400,1.799526
FILLER_112_141,VPWR,li1,71.0700,318.2400,1.799612
FILLER_112_138,VPWR,li1,69.4600,318.2400,1.799612
FILLER_112_100,VPWR,li1,52.2100,318.2400,1.799719
FILLER_112_97,VPWR,li1,50.8300,318.2400,1.799732
FILLER_112_94,VPWR,li1,49.4500,318.2400,1.799748
FILLER_112_91,VPWR,li1,48.0700,318.2400,1.799748
FILLER_112_88,VPWR,li1,46.6900,318.2400,1.799761
FILLER_112_85,VPWR,li1,45.3100,318.2400,1.799776
FILLER_112_83,VPWR,li1,43.9300,318.2400,1.799776
FILLER_112_80,VPWR,li1,43.0100,318.2400,1.799789
FILLER_112_77,VPWR,li1,41.6300,318.2400,1.799802
FILLER_112_74,VPWR,li1,40.2500,318.2400,1.799802
FILLER_112_71,VPWR,li1,38.8700,318.2400,1.799818
FILLER_112_68,VPWR,li1,37.4900,318.2400,1.799830
FILLER_112_65,VPWR,li1,36.1100,318.2400,1.799830
FILLER_112_62,VPWR,li1,34.7300,318.2400,1.799846
FILLER_112_59,VPWR,li1,33.3500,318.2400,1.799859
FILLER_112_56,VPWR,li1,31.9700,318.2400,1.799859
FILLER_112_53,VPWR,li1,30.5900,318.2400,1.799871
FILLER_112_50,VPWR,li1,29.2100,318.2400,1.799887
FILLER_112_47,VPWR,li1,27.8300,318.2400,1.799887
FILLER_112_44,VPWR,li1,26.4500,318.2400,1.799900
FILLER_112_41,VPWR,li1,25.0700,318.2400,1.799916
FILLER_112_38,VPWR,li1,23.6900,318.2400,1.799916
FILLER_112_35,VPWR,li1,22.3100,318.2400,1.799928
FILLER_112_32,VPWR,li1,20.9300,318.2400,1.799928
FILLER_112_29,VPWR,li1,19.5500,318.2400,1.799928
FILLER_112_25,VPWR,li1,17.7100,318.2400,1.799927
FILLER_112_22,VPWR,li1,16.3300,318.2400,1.799926
FILLER_112_19,VPWR,li1,14.9500,318.2400,1.799926
FILLER_112_16,VPWR,li1,13.5700,318.2400,1.799926
FILLER_112_13,VPWR,li1,12.1900,318.2400,1.799926
FILLER_112_10,VPWR,li1,10.8100,318.2400,1.799925
FILLER_112_7,VPWR,li1,9.4300,318.2400,1.799925
FILLER_111_685,VPWR,li1,321.3100,312.8000,1.799706
FILLER_111_682,VPWR,li1,319.9300,312.8000,1.799706
FILLER_111_679,VPWR,li1,318.5500,312.8000,1.799706
FILLER_111_676,VPWR,li1,317.1700,312.8000,1.799706
FILLER_111_673,VPWR,li1,315.7900,312.8000,1.799706
FILLER_111_671,VPWR,li1,314.4100,312.8000,1.799706
FILLER_111_668,VPWR,li1,313.4900,312.8000,1.799706
FILLER_111_665,VPWR,li1,312.1100,312.8000,1.799706
FILLER_111_662,VPWR,li1,310.7300,312.8000,1.799706
FILLER_111_659,VPWR,li1,309.3500,312.8000,1.799706
FILLER_111_656,VPWR,li1,307.9700,312.8000,1.799706
FILLER_111_653,VPWR,li1,306.5900,312.8000,1.799706
FILLER_111_650,VPWR,li1,305.2100,312.8000,1.799706
FILLER_111_647,VPWR,li1,303.8300,312.8000,1.799706
FILLER_111_644,VPWR,li1,302.4500,312.8000,1.799706
FILLER_111_641,VPWR,li1,301.0700,312.8000,1.799706
FILLER_111_638,VPWR,li1,299.6900,312.8000,1.799706
FILLER_111_635,VPWR,li1,298.3100,312.8000,1.799706
FILLER_111_632,VPWR,li1,296.9300,312.8000,1.799706
FILLER_111_629,VPWR,li1,295.5500,312.8000,1.799706
FILLER_111_626,VPWR,li1,294.1700,312.8000,1.799706
FILLER_111_623,VPWR,li1,292.7900,312.8000,1.799706
FILLER_111_620,VPWR,li1,291.4100,312.8000,1.799706
FILLER_111_617,VPWR,li1,290.0300,312.8000,1.799706
FILLER_111_614,VPWR,li1,288.4200,312.8000,1.799706
FILLER_111_611,VPWR,li1,287.2700,312.8000,1.799706
FILLER_111_608,VPWR,li1,285.8900,312.8000,1.799706
FILLER_111_605,VPWR,li1,284.5100,312.8000,1.799706
