net,length_um
_0761_,5.38µm
_0160_,5.34µm
_0563_,5.34µm
_0668_,5.34µm
_0417_,5.28µm
_0458_,5.26µm
_0372_,5.22µm
_0475_,5.22µm
_0545_,5.22µm
_0589_,5.12µm
_0457_,5.04µm
_0389_,5.02µm
_0396_,5.02µm
_0275_,4.94µm
net190,4.94µm
_0340_,4.92µm
_0289_,4.88µm
_0762_,4.88µm
net291,4.82µm
_0064_,4.8µm
_0304_,4.8µm
_0421_,4.8µm
_0797_,4.8µm
_0494_,4.76µm
net523,4.76µm
net632,4.76µm
_0367_,4.68µm
_0785_,4.68µm
_0601_,4.6µm
_0629_,4.6µm
_0102_,4.48µm
_0325_,4.48µm
_0357_,4.48µm
_0579_,4.48µm
net443,4.48µm
_0572_,4.46µm
_0751_,4.46µm
_0449_,4.42µm
_0742_,4.42µm
_0291_,4.375µm
_0206_,4.34µm
_0387_,4.34µm
_0553_,4.34µm
_0592_,4.34µm
_0607_,4.34µm
_0347_,4.24µm
_0430_,4.22µm
_0454_,4.22µm
net229,4.15µm
_0077_,4.14µm
_0197_,4.14µm
_0467_,4.14µm
_0535_,4.02µm
_0057_,4µm
_0544_,4µm
_0640_,4µm
_0509_,3.98µm
_0804_,3.98µm
_0208_,3.88µm
_0259_,3.88µm
_0269_,3.88µm
_0433_,3.88µm
_0484_,3.88µm
_0541_,3.88µm
_0644_,3.88µm
_0714_,3.88µm
_0148_,3.76µm
_0403_,3.76µm
_0471_,3.76µm
_0674_,3.76µm
_0540_,3.75µm
_0341_,3.74µm
_0508_,3.74µm
_0091_,3.66µm
_0604_,3.66µm
_0781_,3.66µm
_0033_,3.65µm
_0514_,3.64µm
_0685_,3.64µm
_0715_,3.64µm
_0358_,3.56µm
_0401_,3.56µm
_0525_,3.56µm
_0004_,3.54µm
_0688_,3.54µm
_0754_,3.54µm
_0776_,3.54µm
_0201_,3.52µm
_0061_,3.42µm
_0180_,3.42µm
_0334_,3.42µm
_0349_,3.42µm
_0551_,3.42µm
_0559_,3.42µm
_0679_,3.42µm
_0791_,3.42µm
_0809_,3.42µm
_0271_,3.3µm
_0306_,3.3µm
_0319_,3.3µm
_0000_,3.22µm
_0438_,3.22µm
_0155_,3.19µm
_0549_,3.19µm
_0429_,3.18µm
_0745_,3.18µm
_0764_,3.18µm
_0701_,3.1µm
_0720_,3.1µm
_0279_,3.08µm
_0327_,3.08µm
_0659_,3.06µm
_0037_,2.98µm
_0268_,2.98µm
_0738_,2.98µm
_0790_,2.98µm
_0076_,2.96µm
_0141_,2.96µm
_0202_,2.96µm
_0300_,2.96µm
_0307_,2.96µm
_0324_,2.96µm
_0515_,2.96µm
_0623_,2.96µm
_0658_,2.96µm
_0779_,2.96µm
net205,2.96µm
_0287_,2.84µm
_0400_,2.84µm
_0749_,2.84µm
_0405_,2.835µm
_0308_,2.76µm
_0338_,2.76µm
_0371_,2.76µm
_0737_,2.74µm
_0264_,2.73µm
net236,2.7µm
_0571_,2.64µm
_0581_,2.64µm
_0112_,2.62µm
_0159_,2.62µm
_0238_,2.62µm
_0343_,2.62µm
_0476_,2.62µm
_0487_,2.62µm
_0772_,2.62µm
_0591_,2.52µm
_0047_,2.5µm
_0359_,2.5µm
_0373_,2.5µm
_0440_,2.5µm
_0568_,2.5µm
_0588_,2.5µm
_0615_,2.5µm
